"Calanus helgolandicus","Neocalanus gracilis","Nannocalanus minor","Euchaeta acuta","Metridia lucens","Pleuromamma abdominalis","Pleuromamma borealis","Pleuromamma gracilis","Gammaridea","Hyperiidea (Total)","Decapoda larvae (Total)","Euphausiacea Total","Chaetognatha eyecount","Fish eggs (Total)","Fish larvae","Centropages bradyi","Centropages violaceus","Heterorhabdus papilliger","Pleuromamma piseki","Candacia spp. (Unidentified)","Pleuromamma spp. (Unidentified)","Siphonophora","Cumacea","Sergestidae","Isopoda (Total)","Lepas nauplii","Mysidacea","Ostracoda","Echinoderm post larvae","Thaliacea","Stomatopoda","Amphipoda (Unidentified)","Doliolidae","Alteutha spp.","Lucifer spp.","Pontellidae (Unidentified)","Scina spp.","Mollusc eggs (+)","Cnidaria tissue","Aetideus spp. (Unidentified)","Paraeuchaeta hebes","Euchaetidae (unidentified)","Plastic Total (trial)","Anchovy egg","Calanus I-IV","Para-Pseudocalanus spp.","Temora longicornis","Acartia spp. (unidentified)","Centropages typicus","Centropages hamatus","Isias clavipes","Clausocalanus spp.","Oithona spp.","Corycaeus spp.","Podon spp.","Evadne spp.","Cyphonautes","Echinoderm larvae","Dictyocysta spp.","Parafavella gigantea","Ischnocalanus","Candacia I-IV","Harpacticoida Total Traverse","Euterpina acutifrons","Lucicutia spp.","Mecynocera clausi","Oncaea spp.","Parapontella brevicornis","Copepod nauplii","Acartia negligens","Copepod eggs","Cirripede larvae (Total)","Euphausiacea calyptopis","Foraminifera (Total)","Radiolaria Total","Zoothamnium pelagicum","Centropages spp. (Unidentified)","Tintinnopsis spp.","Rotifer eggs","Spindelei","Echinospira larvae","Acantharia spp","Radiolaria non-Acantharian","Paracalanus spp.","Ctenocalanus spp. (Unidentified)","Codonellopsis spp.","Appendicularia","Cirripede nauplii","Dadayiella spp.","Eutintinnus spp.","Parafavella spp.","Rhabdonella spp.","Salpingella spp.","Stenosemella spp.","Reophax scotti","Colonial Radiolaria spp.","Pleuromamma V-VI (Trav)","Oikopleura spp.","Bivalvia larvae","Tintinnida Total","Thecosomata (North Atlantic)","Gastropoda (unidentified)","Fungi (+ only)","Pseudocalanus spp. adult Total","Cyclopoida unidentified","Paralia sulcata","Skeletonema costatum","Thalassiosira spp.","Rhizosolenia styliformis","Rhizosolenia hebetata semispina","Chaetoceros (Hyalochaete) spp.","Chaetoceros (Phaeoceros) spp.","Odontella sinensis","Thalassionema nitzschioides","Ceratium fusus","Ceratium furca","Ceratium lineatum","Ceratium tripos","Ceratium macroceros","Ceratium horridum","Ceratium longipes","Ceratium arcticum","Bacteriastrum spp.","Hemiaulus spp.","Leptocylindrus danicus","Cylindrotheca closterium","Rhaphoneis amphiceros","Coccolithaceae (Total)","Pterosperma spp. (Total)","Silicoflagellates","Odontella mobiliensis","Ceratium arietinum","Ceratium azoricum","Ceratium candelabrum","Ceratium extensum","Ceratium gibberum","Ceratium hexacanthum","Ceratium minutum","Ceratium pulchellum","Ceratium trichoceros","Cladopyxis spp.","Dinophysis spp. Total","Gonyaulax spp.","Oxytoxum spp.","Protoperidinium spp.","Podolampas spp.","Pronoctiluca pelagica","Prorocentrum spp. Total","Noctiluca scintillans","Stellate body (Land plant hair)","Scrippsiella spp.","Actiniscus pentasterias","Proboscia alata","Leptocylindrus mediterraneus","Proboscia inermis","Dinophysis acuminata","Dinophysis tripos","Nitzschia bicapitata","Rhizosolenia spp.","Prorocentrum micans","Spiniferites cysts","Scrippsiella cysts","Acanthoica quattrospina","Braarudosphaera bigelowii","Emiliania huxleyi type","Rhabdosphaera clavigera","Syracosphaera pulchra","Coccolithus pelagicus","Scyphosphaera apsteinii","Rhizomonas setigera = (Solenicola setigera) (+)","Prorocentrum spp. ('Exuviaella' type)","Pseudo-nitzschia delicatissima complex","Pseudo-nitzschia seriata complex","Trichodesmium spp.","Guinardia delicatula","Goniodoma polyedricum","Dinophyceae unidentified","Corethron hystrix","Proboscia indica","Rhizosolenia imbricata","Ceratium spp. developing (asexual)","Nitzschia/Pseudo-nitzschia spp. (unidentified)","Brown algae sporophyte"
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,1,0,0,50,0,0,0,0,0,1e-04,0,0,0,300,0,50,1750,0,0,0,0,0,0,0,0,0,50,50,300,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,50,50,0,0,0,0,0,3750,0,0,1e-04,0,0,0,0,0,15000,0,15000,35000,0,0,15000,35000,0,1e-04,15000,0,0,0,0,0,0,0,0,65000,0,15000,0,0,0,0,0,0,1e-04,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,15000,0,0,35000,0,0,0,0,0,0,0,0,0,0,35000,35000,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,100,0,0,1e-04,0,0,0,0,0,0,1e-04,0,0,3750,0,0,0,0,0,0,0,0,0,300,0,300,0,0,850,100,0,0,0,0,0,0,100,0,0,0,0,100,0,0,50,0,50,3750,0,0,0,0,0,0,8000,0,0,0,0,0,0,15000,0,35000,0,130000,15000,0,0,170000,170000,0,15000,15000,0,0,15000,15000,0,0,15000,0,225000,0,15000,0,0,0,0,0,0,1e-04,0,0,15000,0,0,0,15000,15000,15000,0,0,0,0,0,0,35000,65000,0,0,0,0,0,0,15000,0,0,0,130000,35000,15000,0,15000,0,35000,0,0,0,0,0,0,0,0,0,0,15000,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,2,0,0,1e-04,0,1e-04,0,0,0,1e-04,1e-04,0,0,1e-04,0,0,300,0,0,0,0,0,0,0,0,0,50,0,300,0,0,850,300,0,0,0,0,0,0,300,100,1e-04,0,0,50,0,0,0,0,850,100,0,0,0,0,0,0,1750,0,0,0,0,0,0,0,0,1e-04,0,0,15000,0,0,35000,65000,0,1e-04,1e-04,1e-04,0,1e-04,0,0,0,0,0,35000,0,0,0,1e-04,0,15000,0,0,0,0,0,0,0,1e-04,15000,15000,1e-04,0,1e-04,0,0,0,0,0,15000,15000,0,0,0,1e-04,0,0,1e-04,0,0,0,15000,15000,0,0,0,0,35000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,50,0,0,100,0,0,100,0,50,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,300,0,0,850,300,0,0,0,0,0,0,300,1e-04,0,0,0,150,0,0,0,0,300,0,0,0,1e-04,0,0,0,300,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,35000,35000,0,15000,1e-04,0,0,0,0,0,0,0,0,35000,0,0,0,0,0,1e-04,0,0,0,0,0,1e-04,0,0,0,1e-04,1e-04,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,35000,15000,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0
0,1,6,0,0,0,0,0,0,0,6,17,75,0,0,0,0,2,2,0,2,1e-04,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,6,0,0,300,0,50,300,0,0,300,50,50,0,1e-04,0,0,50,0,0,1e-04,0,0,0,0,0,0,50,50,300,50,0,850,3750,0,0,0,0,0,0,3750,300,100,0,0,0,50,0,0,0,50,100,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,15000,1e-04,1e-04,15000,0,0,1e-04,0,0,0,0,0,35000,0,0,0,0,0,0,0,0,15000,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,15000,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0
0,6,17,0,2,1,0,17,0,6,0,17,35,0,1,0,0,0,0,3,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,1,0,0,50,300,0,100,850,0,0,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,300,0,1750,0,50,300,300,0,0,0,0,0,0,300,0,100,0,0,0,0,0,0,0,300,50,0,0,0,50,0,0,300,50,0,0,150,0,0,0,0,0,0,15000,0,0,0,65000,95000,15000,15000,1e-04,15000,0,0,0,0,0,0,0,35000,0,0,0,0,0,1e-04,0,0,15000,0,15000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,2,0,1,0,1e-04,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,150,0,0,100,0,0,50,150,0,0,1e-04,0,0,0,0,0,0,0,0,0,50,0,0,850,0,1750,0,1e-04,1750,3750,0,0,0,0,0,0,3750,300,0,0,0,100,0,0,0,0,0,50,0,0,0,0,0,0,50,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,65000,0,0,95000,0,0,0,0,0,0,0,0,95000,0,0,0,1e-04,1e-04,0,0,0,1e-04,0,0,0,0,15000,0,35000,15000,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,95000,0,0,0,0,0,0,0,0,0,0,0,35000,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,50,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,15000,15000,0,0,15000,0,0,0,0,0,0,0,0,35000,0,0,0,0,0,1e-04,15000,15000,15000,0,0,0,0,1e-04,15000,0,0,0,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,300,0,0,300,300,0,0,0,0,0,0,0,300,50,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,35000,0,0,35000,0,0,0,0,0,0,0,0,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,0,0,0,3,6,0,3,0,6,160,0,0,0,1,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,100,300,0,0,50,1e-04,0,0,1e-04,0,0,0,0,0,1e-04,0,0,1e-04,0,1e-04,0,0,0,850,0,1e-04,0,850,0,0,0,0,0,0,300,150,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,1e-04,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,6,0,0,0,3,6,0,0,0,6,17,0,0,3,0,0,0,0,6,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,2,0,0,50,0,0,850,0,0,300,0,0,0,1e-04,0,0,0,0,0,1e-04,0,0,1e-04,0,0,0,0,0,300,0,0,100,100,0,0,0,0,0,0,0,100,50,0,0,50,0,0,0,0,0,50,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,35000,35000,0,15000,15000,0,0,0,0,0,15000,0,0,35000,15000,0,0,0,0,1e-04,0,0,1e-04,0,0,0,0,0,0,15000,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,15000,15000,0,0,0,0,0,15000,0,0,0,0,1e-04,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,3,0,0,50,0,0,100,0,0,1e-04,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,300,0,0,50,0,0,0,0,50,0,0,0,0,1e-04,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,15000,0,15000,15000,0,0,1e-04,0,0,0,0,0,15000,0,0,0,0,0,1e-04,0,0,1e-04,0,0,0,0,0,0,0,1e-04,0,0,1e-04,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,15000,0,0,0,0,15000,0,15000,0,15000,0,0,0,0,0,0
0,0,17,0,0,2,6,17,0,3,0,3,1,0,0,0,0,3,3,0,17,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,1,0,0,0,100,0,1e-04,850,0,0,850,0,1e-04,0,100,0,0,850,0,0,0,0,0,1e-04,0,1e-04,0,50,0,300,0,1e-04,100,150,0,0,0,0,0,0,0,150,50,0,0,0,0,0,50,0,300,1750,0,0,0,100,0,0,1750,1e-04,0,0,0,1e-04,0,0,0,1e-04,0,15000,15000,0,0,15000,65000,0,0,1e-04,0,0,15000,0,15000,0,0,0,0,0,15000,0,0,0,15000,0,0,1e-04,0,0,1e-04,0,15000,0,1e-04,15000,0,0,35000,0,0,0,0,1e-04,15000,15000,0,0,15000,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,1e-04
0,6,35,1,0,3,0,6,0,6,0,17,0,2,0,0,0,0,0,0,1,1e-04,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,1,0,0,0,0,0,50,0,0,100,0,0,0,100,0,0,850,0,0,0,0,0,0,0,1e-04,0,0,0,300,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,300,0,0,0,50,0,0,850,0,0,0,0,0,0,0,35000,1e-04,0,35000,15000,0,0,15000,35000,0,0,1e-04,0,0,1e-04,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
